Name,Score,Deviation
Anjo,1762,108
Neri,1760,63
Minifedora,1711,57
Fedoralord552,1705,76
Smear,1697,82
Ndiaz,1690,73
Sylarius,1610,260
Bladewise,1609,248
Yardsale,1593,126
Bluezone,1587,209
Jams,1583,272
Dylanlan,1542,149
Alphicans,1462,198
Sad,1427,96
Arca,1379,111
Lift,1360,66
Figa,1350,85
Sdk,1348,102
Limeee,1343,164
Compushwa,1335,110
Kronos,1330,73
Adamantium,1321,115
Mandible,1294,194
Jraff,1277,182
Pelican,1271,166
Bbro,1239,215
Commandaguy,1239,171
Dew,1236,164
Gouda,1223,182
Crogunk,1215,289
Star,1208,291
Giganticfedora,1206,198
Salamimommy,1204,222
Tags,1169,227
Tulip,1150,149
Jackied,1141,131
Yawn,1124,201
Drummercon,1124,185
Lights,1112,277
Nugs,1090,238
Vaynemain,1086,133
Cris,1069,257
Victra,1064,218
Mickey,1064,170
Kimil,1052,128
Chair,1051,209
Alpha,1030,237
Dr.love,1028,165
Cinder,1019,131
Dunkmaster,1004,192
Bigboy,993,125
Grylie,991,222
Saybn,990,209
Hyper,985,228
Jedcruz,972,226
Medic,972,240
Dragonbooty,967,234
Squirmple,962,156
Okada,936,243
Adrian,932,194
Alizon,927,296
Peaches,924,279
Chaz,906,263
Gumby,900,307
Shift,895,136
Kuraudo,895,335
Hettman,873,110
Npo,866,165
Zedd,852,219
Zozzle,846,244
E-beats,845,220
Crimsonbeast,844,233
Zensa,839,227
Neki,839,306
Itssonic,838,305
Reich,831,226
Lpm,815,192
Boner,808,224
Asianjustinwong,806,324
Salsa,799,219
Aedrenaline,795,338
Finestsilver,793,198
Beanfox,771,248
Approvedboat,750,314
Kull,748,296
Knoff,729,376
Gundamrobot,723,210
Ksc,722,352
Dumpmaster,714,286
Kcurb,707,206
Nullex,702,153
Slurmzmackenzie,686,300
Superloli,684,151
Amac,683,307
Kasey,659,315
Silver,650,259
Blueandyellowshirt,631,330
Umr,629,253
Noxris,622,326
Rollboy,593,303
Rin$god,591,318
Omergosh,576,337
Hwarplz,566,239
Science,547,299
K-dj,545,358
Djkoolkids,521,385
Sauce,503,288
Unclegubsy,497,362
Midnight,474,359
Bitepunch,451,402
Taxisdue,449,375
Saber,429,362
Supershota,415,342
Moon,415,542
Dork,413,303
Chicken,274,288
Boof,118,345
G$,108,295
