name, rating, rd, vol, inactivity
sylarius 2130.923287761403 272.56348147469123 0.08089293613060589 9
jams 2129.5908852690154 285.3565915174542 0.08068169041674222 9
bladewise 2105.4306659406257 260.5681253124668 0.08106319103668395 9
bluezone 2006.1909632865554 221.8482856342768 0.08100993378908557 9
anjo 1979.0114542670253 112.21788483724522 0.08020712675962577 2
neri 1910.8532293625758 60.48870462167111 0.07997058168259946 0
smear 1862.1243672613275 83.27171751219082 0.08050726579233325 1
fedoralord552 1861.6165903475598 70.49882168116743 0.07984082405815011 0
alphicans 1859.6061094579995 210.9371819483681 0.08010110071875577 9
yardsale 1846.9408705130622 139.2748788031123 0.0802783160309766 7
dylanlan 1841.2212350964426 161.83238442252357 0.0801587137237226 7
ndiaz 1837.7048278972297 74.85911582044318 0.08006745236524572 1
minifedora 1827.3128638263534 59.36438936868794 0.07965004046581876 1
crogunk 1794.8538665605656 301.9400634435976 0.0800665994852498 9
star 1791.2320990384853 303.8761905531589 0.08006106140495471 9
kuraudo 1706.5782999771343 181.47123565548242 0.0799185818034399 0
mandible 1682.8280417636138 194.5209874684753 0.08001960239211924 1
jraff 1678.2094870673109 126.26465674255009 0.07991656354964438 0
limeee 1672.8890962850626 168.4049167439493 0.0801200230022456 2
bbro 1670.964129296509 228.06636397235633 0.07993170514158783 9
lights 1666.5834884985186 289.4241769077984 0.07998673298405998 9
arca 1659.8880720267832 95.23513684612519 0.07952935614087801 0
salamimommy 1649.0393055064662 234.82814774454164 0.08006548757908376 11
victra 1626.8981429599064 143.72404746702065 0.07995255348845823 0
tags 1624.3528621976131 240.01962526888158 0.08037648432410978 13
sad 1619.2907257233378 97.1097407026347 0.07977941816187209 1
pelican 1604.1088005045626 173.63402779124664 0.07984706231783904 4
giganticfedora 1602.78573611593 210.65169529203817 0.07992853369794006 8
griley 1591.180410506857 154.49980560767122 0.07992630796619749 0
gouda 1589.3646866315758 186.50165150697208 0.07992658259857127 2
cris 1584.3631706911005 257.9357837670141 0.07997953373017175 1
commandaguy 1581.2645181344892 183.60351733072574 0.07997880817191569 7
nugs 1568.162221827152 251.29074601342842 0.07994367378629808 6
dew 1566.190270178487 172.46371264074668 0.0798946276098908 4
timto 1558.375641647061 160.4761994561794 0.07990210019181543 0
compushwa 1556.3229290196596 114.29209471096488 0.07981758428894695 2
adamantium 1552.0700367786835 127.94412271629388 0.07999152030272653 6
yawn 1526.7757263423587 204.52831904738852 0.07992058867442424 2
sdk 1519.2593886308377 95.67349450005077 0.08003408707537332 0
gumby 1514.753580221478 319.68604547342744 0.07990188537594994 15
bent 1508.7233580327552 200.26778578435676 0.07993569221480674 0
alpha 1505.6282895939898 250.08831440600173 0.07992859474973685 9
moon 1500.0 554.5725284387321 0.08 20
drummercon 1494.659465708203 185.69849832681578 0.07991946054416856 1
lift 1492.6542527234753 64.88256624083338 0.07926515245870629 0
figa 1489.3180023961584 82.09019895154253 0.07979184989007566 0
tulip 1483.908694025031 125.8171392710056 0.07988339964055763 0
peaches 1483.1356125205416 291.542174020771 0.07994150185174692 9
knoff 1482.190402144152 388.7667783560799 0.0799297636999294 19
aedrenaline 1472.8950251406686 350.8709227114236 0.0799718674078455 9
kronos 1471.0316675943886 71.86995244951243 0.07948052268843817 0
asianjustinwong 1454.6981063495411 336.52360944747863 0.07994698936741457 13
medic 1453.710109483321 248.11234316354214 0.07994798573768057 4
neki 1452.3930626932167 318.739142719208 0.07991711794641809 16
itssonic 1449.7637686333326 317.878360991536 0.07995987568132244 9
hyper 1442.8820107594477 236.20653413599936 0.07993862466468164 5
dragonbooty 1437.6161155441798 247.3574986407805 0.07993181050355175 7
grylie 1435.2553333864817 222.5048154189297 0.07995994191178492 1
chaz 1432.5826757478258 270.5336821674108 0.07996112544039186 4
jedcruz 1426.8610844520542 234.39169668598598 0.07994490176897186 4
ksc 1426.7286580055297 364.3163447689539 0.07995118089066978 16
dumpmaster 1426.3101081119444 176.4933295126259 0.0800122804647226 0
okada 1422.9541485084717 255.84819753238327 0.07993496877419665 8
chair 1413.9917432161856 151.46601439325536 0.0798719372080124 0
