name, rating, rd, vol, inactivity
sylarius 2130.923287761403 247.78611239241454 0.08089293613060589 7
jams 2129.5908852690154 260.6204316128816 0.08068169041674222 7
bladewise 2105.4306659406257 235.74869452318617 0.08106319103668395 7
bluezone 2006.1909632865554 196.87354003380244 0.08100993378908557 7
anjo 1979.0114542670253 107.42563374174102 0.08020712675962577 0
smear 1904.509738836655 86.10062701869482 0.08051404454887283 0
fedoralord552 1871.284210632659 82.80958326460555 0.07988686380355599 2
alphicans 1859.6061094579995 185.92996065236795 0.08010110071875577 7
neri 1849.4705004751838 66.47508529670336 0.07999637484514853 1
yardsale 1846.9408705130622 113.65615127320723 0.0802783160309766 5
dylanlan 1841.2212350964426 136.47534090351917 0.0801587137237226 5
ndiaz 1819.3842270038747 81.94275213543422 0.08009620226500623 0
minifedora 1815.2240673710262 60.21788655598092 0.07967816991830358 0
crogunk 1794.8538665605656 277.25758813431884 0.0800665994852498 7
star 1791.2320990384853 279.1984465706043 0.08006106140495471 7
limee 1751.0578239155302 194.04636706579967 0.08013309042762198 4
bbro 1670.964129296509 203.14571799961163 0.07993170514158783 7
lights 1666.5834884985186 264.71154431606953 0.07998673298405998 7
salamimommy 1649.0393055064662 209.93338644111873 0.08006548757908376 9
tags 1624.3528621976131 215.1390882955142 0.08037648432410978 11
pelican 1604.1088005045626 162.46465360197857 0.07984706231783904 2
giganticfedora 1602.78573611593 185.6473236651639 0.07992853369794006 6
arca 1602.1521350711996 103.39089150852577 0.079530020076631 4
gouda 1589.3646866315758 182.44804186052488 0.07992658259857127 0
commandaguy 1581.2645181344892 158.4321038238162 0.07997880817191569 5
nugs 1568.162221827152 231.4711739022355 0.07994367378629808 4
kuraudo 1566.430923485603 323.2271994955637 0.07993617057446804 14
dew 1566.190270178487 161.28452111749982 0.0798946276098908 2
sad 1565.276718105663 112.2326229574972 0.07977907526984637 0
compushwa 1556.3229290196596 109.55096130563071 0.07981758428894695 0
sdk 1552.6365474721515 101.31936224498423 0.08004390948378284 0
adamantium 1552.0700367786835 107.21160005389935 0.07999152030272653 4
yawn 1526.7757263423587 200.5695716667293 0.07992058867442424 0
figa 1523.6999603511197 90.30588569494886 0.07983023605000197 3
alizon 1521.131769174905 284.3783970128012 0.07992960253940522 10
gumby 1514.753580221478 295.04648026475246 0.07990188537594994 13
