name, rating, rd, vol
kolby 1400.1247477825627 227.73538458230354 0.059987926722302604
sdk 1218.4482449744996 242.38542702831072 0.060022943210972714
bigboy 1400.1247477825627 227.73538458230354 0.059987926722302604
fox3345 1252.6818821529578 253.40462595209 0.06001206352634158
anjo 1824.5717894956565 155.1700625443959 0.06024220545152103
jarobi 1252.6818821529578 253.40462595209 0.06001206352634158
cinder 1400.1247477825627 227.73538458230354 0.059987926722302604
2/4lip 1669.3438679319713 171.20864116889757 0.060011905964187956
butteeeers 1252.6818821529578 253.40462595209 0.06001206352634158
hettman 1218.4482449744996 242.38542702831072 0.060022943210972714
conut 1358.2651783201356 227.4757789222367 0.05999401848613166
taylorf 1252.6818821529578 253.40462595209 0.06001206352634158
sad 1549.9551079859993 188.41646132418998 0.059970706992825785
alphicans 1728.4488478209785 185.6950815230887 0.06003736928294614
ksc 1664.135455159356 181.8510299903314 0.06000405255339381
merkzer 1298.6543624172473 241.5121054019001 0.06000474817100273
mr.bulldops 1464.688894040947 208.36083646138914 0.059976890870456136
crimsonbeast 1358.2651783201356 227.4757789222367 0.05999401848613166
fedoralord552 1618.2680798996655 185.0264465601323 0.05998513743370801
kull 1516.2663701137453 201.7781325177995 0.05997360163050096
victra 1456.1659447203624 203.01090482823042 0.059975658015786554
dotcalm 1358.2651783201356 227.4757789222367 0.05999401848613166
yardsale 1626.6648524851512 181.34877789054923 0.059987890462658316
zozzle 1211.196458366067 209.32534410697934 0.06004679842117646
dew 1776.2382984827943 190.61675615150665 0.06006246431760953
smear 1585.6326195296915 186.92593332384448 0.05997649411495091
npo 1759.8135170604419 116.52670420490185 0.06049208258505408
approvedboat 1365.715855963131 213.28005608688505 0.05999166198853205
marru 1447.2204997958356 222.54701661986735 0.0599822723898993
tulip 1520.8543990075177 199.6731550094391 0.05997294284401107
pelican 1521.1347205113843 150.05220905214753 0.0599427076229361
crusayer 1644.2190015554784 164.36271057749858 0.05999926861105069
apto 1218.4482449744996 242.38542702831072 0.060022943210972714
jraff 1756.872573499722 172.8983725778909 0.06007881372367657
merkzr 1400.1247477825627 227.73538458230354 0.059987926722302604
ndiaz 1500.0 208.56029348778836 0.05997588979105785
minifedora 1586.1074098035306 195.42480143124203 0.05997894870199584
phantom 1530.13271462107 204.9222305120582 0.05997538942302143
woody 1542.0842574312992 195.19461548687073 0.05997258985684616
chochang 1566.131678224853 174.48501539935683 0.05996756430109052
medic 1582.561364949164 176.64189922760778 0.059972546691174
lpm 1254.5619495812643 238.19704127386836 0.060015026477241
chicken 1318.5099715642782 246.3138600991383 0.060000999668930896
noxris 1393.3665228647662 208.75057282320194 0.059985668855645775
figa 1421.2707768906191 199.46222429336942 0.059978758609719705
jedcruz 1520.3769799331312 167.76958910860904 0.059956454368604056
kronos 1584.538553467848 175.90584647518307 0.059972860151726655
nugs 1744.0912081551664 166.20170743317422 0.06008118197612814
shift 1312.706882702219 247.15882784475698 0.060001918001457204
dr.love 1349.1626416727086 205.72750508907058 0.05999545971786872
colt 1508.1276103144125 171.85560572162566 0.059958425822878386
maigai 1370.496650778662 205.9799779397319 0.05999006009951937
justjohn 1528.9035273560598 188.39717604455552 0.059968566238839435
boof 1324.5069769695751 160.4026501204488 0.06002545871798316
jv 1871.1444206346223 157.56425413810993 0.06031353721667926
umr 1183.0981678229728 188.65835220147704 0.06009659342299405
sqruimple 1465.6528005453729 181.23171632016198 0.059965586549627144
poppinfresh 1695.6077316838207 179.17827509251322 0.06002284020187847
