name, rating, rd, vol
sylarius 2351.453042077778 269.28872391422885 0.08142856252255468
bladewise 2124.3562289117685 254.53938836528394 0.08098288522823019
jams 2061.871149639243 269.28285844904013 0.08056478832848793
bluezone 2016.3413193133179 221.56338043097972 0.08101214197940713
anjo 2014.218069108209 113.90222082959954 0.08020417558785038
seaneri 1998.581240473613 202.44662965250802 0.081605497764084
fedoralord552 1921.5748530006483 136.34344844616825 0.07986978863680909
smear 1899.7830277695718 84.86277743967547 0.08046273571253451
alphicans 1896.6568841039443 211.9024835183264 0.08010902198147525
minifedora 1856.0818687521073 64.67457546749084 0.07956837474364789
yardsale 1844.0794887794361 126.95276319720622 0.08023723715530218
dylanlan 1842.9164869801893 150.45406640041634 0.08010746835770773
ndiaz 1831.0290648037972 77.79078094185645 0.0800386584273056
neri 1828.991020824271 74.27917377653665 0.07999228091951387
star 1811.610953078996 305.41509875515624 0.08005532709613228
crogunk 1791.1642268935095 293.533159742214 0.08005532098409826
limeee 1690.0442842968034 200.0718461843655 0.08003225463696913
lights 1673.6484072899839 287.0312121632512 0.07998626136675496
salamimommy 1644.9638457325073 233.21537441573486 0.08007316851640847
bbro 1636.825723767497 228.76735500094878 0.0799264668090411
tags 1631.4128160902912 251.97706770515984 0.0803757325562847
pelican 1617.5066680345299 174.17233281480821 0.0798507286404477
arca 1600.5161039094069 110.04579094212767 0.07944775046846662
giganticfedora 1598.6277318872878 198.67334963943193 0.07991962141861818
gouda 1588.6320475025423 188.54044492837534 0.07992776492793313
commandaguy 1588.3825733861795 172.1147831394859 0.07998517635783152
adamantium 1585.5073138231865 101.70355299553479 0.07973326376847027
dew 1581.1807537815064 166.7792678066608 0.07990235329146442
sad 1572.1604139195324 118.50125458138474 0.07979914675266203
nugs 1567.6538030614863 238.73280742205085 0.07994103929315767
gocutiego 1567.2674938803682 401.00751452143436 0.0799302626076251
kuraudo 1565.591095458502 372.76349367797053 0.07993619852790096
sdk 1563.9344038104105 88.02629565640989 0.0798692095627874
compushwa 1562.9101185318284 100.02221420415327 0.0797456521938925
figa 1558.877242484988 75.77800802214199 0.07974785072075284
victra 1526.6129186283424 215.2582859812873 0.07991378553098384
yawn 1520.1732237585913 203.14511463002322 0.07991986400532058
alpha 1519.7495314953603 254.53126793589257 0.07993022414639035
gumby 1515.02524455387 344.3485154959125 0.07990202586442664
moon 1500.0 578.9170003601713 0.08
