name, rating, rd, vol
anjo 2029.906419521108 70.10588645488514 0.08003456223892068
yardsale 1924.123416699902 73.73243834087049 0.08095959824887293
sylarius 1907.5774578627152 136.44239385270734 0.08080318578277539
jv 1901.857900675898 65.6607658368078 0.08027559631867445
nugs 1848.0821385986928 73.8457827229084 0.08072836075617977
bluezone 1846.630646692557 240.40947943037688 0.08099337262564145
jraff 1830.2529944185571 73.56676070245052 0.0797834110369723
ksc 1805.092840447841 65.784502202507 0.07977862263546481
alphicans 1774.3641399207424 186.8240785547082 0.08016325689055405
tags 1763.415636822795 112.4609945119969 0.07989282274884715
mittens 1753.8501248159296 183.00817651590128 0.08037327608774786
poppinfresh 1745.6503845894927 67.87015150682052 0.07996835179944689
dew 1741.8945112483234 78.51146642624312 0.0801887414924714
dopesamus 1739.1965968942059 119.83515807392274 0.07991977749840296
crusayer 1725.8161786658313 110.621350708149 0.07982537540091542
pelican 1700.2204419946167 66.65741574414857 0.07957929254424853
chochang 1670.132199996003 92.11197173035063 0.079864676987888
kronos 1631.0994084259853 63.917850744369005 0.07938849545637766
npo 1612.5670123409946 71.67059932002017 0.0802675406258154
salamimommy 1603.4819343026684 192.712304556296 0.07993919719537554
silver 1602.5564307408397 121.0545623524529 0.07968650594612729
woody 1599.7277418202557 171.52796373146919 0.07989831729470932
victra 1598.9646393445403 128.77791699738822 0.07993789772964244
minifedora 1593.6444420141368 112.64971200278205 0.07984744034688673
andhobbes 1585.5184871230067 282.01544955333657 0.07993373508230335
borz 1562.8823651396588 247.5382898841715 0.07988913883897247
smear 1553.0150256865452 117.99199202338033 0.07985566441146447
kelaris 1549.371426014914 202.4331512538487 0.07981273866524144
approvedboat 1548.815457678452 112.76619289348716 0.08011116568950333
drummercon 1547.390106067216 119.48418700764022 0.07999959815332565
kull 1539.324207980139 88.36479106867868 0.07958377798328924
fedoralord552 1533.2093736443574 122.00623424562964 0.07969052071429658
medic 1524.0187611857257 191.43775325866144 0.07991196675482853
yawn 1516.1763160856465 171.97284635722207 0.07988907977599027
saybn 1515.2547410329055 233.3621693452349 0.07993728668873529
tulip 1509.3388024677552 94.07785817949923 0.07956752683709577
lift 1501.6039573227467 171.3383406198334 0.07984221940294273
arca 1500.0 481.4390241057672 0.08
kasey 1498.0147309303645 135.71761738024742 0.07978803469013393
mr.bulldops 1485.386337236499 161.76870085906344 0.07988480456159273
chair 1482.144830457605 264.6285380303165 0.07996273242894486
bbro 1475.399987341498 279.9380993738267 0.07991804501605235
jedcruz 1471.8548596445157 197.090373180499 0.07991864632398366
hyper 1462.8855722848311 243.02011046741382 0.07995305030472265
loopy 1460.8158828664245 204.94119256788036 0.07992932869233416
sad 1457.9509549698143 116.49707951926122 0.07992321424593829
asianjustinwong 1435.7706665526403 243.327641621309 0.07992768042826873
gumby 1433.2033788832525 292.412694980466 0.07995058761674365
knoff 1412.7820979859068 401.93622284692856 0.0799875713068684
slurmzmackenzie 1412.5196793388477 200.6384261139419 0.07994009050094183
jure 1410.3933687625508 245.152635357368 0.07995818407567828
salsa 1408.4035433766624 125.64988846432998 0.07995805537272033
christinefromnetplay 1408.1847491874819 226.5357102949471 0.07994946588268499
trashman 1403.5550428473016 247.6312199747962 0.07994753565990922
ndiaz 1403.1173928806527 182.48833619290542 0.07991051164991922
kcurb 1399.1542657404657 325.59623172479843 0.079971724401958
sunshine 1393.6665839359448 308.4057896340717 0.0799665944288632
takaio 1382.8878583459455 198.67823988699524 0.07995378830687729
brayden16 1379.5008937053249 274.582966535691 0.07996634532878241
gouda 1378.3042750085378 198.4616423678533 0.07995641937915052
sendai 1374.5739494578318 231.0387042555214 0.07996655891458548
conut 1373.949398412843 231.87265520571611 0.07996781911200117
justjohn 1368.1964375573623 135.12116471859733 0.07987621152628628
koreanking 1366.4556144810124 127.96798719367301 0.07985475138304034
tak 1361.842754175333 244.80897708109947 0.07997520709016204
figa 1361.4084650058871 101.6835516277053 0.07978884650730392
colt 1357.1385997118598 116.29954045258549 0.07996259615264052
alpha 1356.8673974030653 305.02201324685024 0.07998380981781657
scrubsauce 1341.738181499575 345.1738828011332 0.07999450999812788
jackied 1335.5248932267773 116.71041661668488 0.07982641695959257
dr.love 1334.4543784790528 167.10164319111135 0.08008610293981834
unclegubsy 1329.1402289327602 126.17006377379123 0.07996390733772084
noxris 1319.117427163926 238.04307921270464 0.07998963600721781
squirmple 1309.2067977849276 151.39007182824744 0.07979874108649784
turboscrub 1302.8978471175171 294.97078065415076 0.08001177995792987
lunamelee 1299.9739440789997 360.9177869972187 0.0800108202224828
rn 1295.376998042073 224.50458000132195 0.08001117224517014
blueandyellowshirt 1290.4303987538947 307.88259628255406 0.08001413751948133
coolalex 1284.1441915230375 242.29310638766813 0.080009495550611
phantom 1281.2031263055956 101.77549647702646 0.07983254337259259
tony 1274.2287643576146 132.09827300752212 0.0798558384440188
nicknasty 1273.3753205457883 242.41218287404786 0.080041223887453
bitepunch 1271.4216242571365 229.16983597928746 0.08000096569613996
crimsonbeast 1265.7259009918007 221.44537861142035 0.08003216604801122
okada 1264.6704410604957 247.00844252344783 0.08002345021747348
dotcalm 1263.638641678131 231.64994422078502 0.08002493373641953
skittles 1253.3093323700555 350.1187774918726 0.08004274483993072
neki 1252.2398120446421 366.9721095363316 0.08002205369832556
bigboy 1250.5977356153144 94.2470924761972 0.07982828970816537
dynasty 1250.415941310931 252.33462358113573 0.08001803691304024
cutieboy666 1250.035842376358 351.21402766137146 0.0800282353785502
colby 1249.477348873314 124.4032935452193 0.079929748056256
