Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2054,109
Krizski,1850,75
Odds,1739,91
Swan,1710,60
Garbage,1692,84
Poppinfresh,1676,88
Qwuv,1620,58
Dimentio,1593,81
Leaf,1590,101
Mftea,1588,133
 - - - - - - Gold - - - - - - 
Minijoel,1567,61
Wamsa,1520,60
Mach5,1497,189
Birmi,1466,57
Brunch,1458,86
Liban$,1447,85
Milesss,1446,92
Vision,1418,77
Riceboy,1382,225
Isis,1364,98
Tsteak,1360,83
Rat!,1315,90
Zipper,1291,173
Nitro,1287,164
Rash,1272,151
 - - - - - - Silver 1 - - - - - - 
Duckrobin,1228,64
Bapple,1218,89
Princessknight,1189,207
Dertymike,1157,300
Thunderbob,1150,165
Stewie2k,1142,177
Falco,1138,265
Gocutiego,1119,197
Finsnreads,1112,147
Linda,1104,180
 - - - - - - Silver 2 - - - - - - 
Bigbird,1089,169
Magpie,1086,207
Rtsvicta,1079,203
Dokmomo,1067,129
Unity,1053,104
Venison,1050,188
Rain,1035,128
Ashley,1032,143
Slinky,1009,141
Tomthebomb,991,197
Thegroose,980,214
Nexusflip,980,289
Sykke,957,215
Blackgun,956,259
Greenapple,955,145
 - - - - - - Bronze 1 - - - - - - 
Seen,950,129
Soupostrich,943,183
Kova,932,251
Me$|platplat,932,169
Superanimevapegod,931,282
Ghillieguide,925,327
Wpi|folie,914,201
Chewwie,904,301
Darkaozorax,896,242
Emgat,883,304
 - - - - - - Bronze 2 - - - - - - 
Jip,882,187
Meleekunis,876,267
Babe,862,287
Ed,856,203
Jams,856,203
Tomato,840,231
Busso,831,168
Twdock,830,171
Aids,818,122
Boss,817,226
Runawayfire,813,262
Me$|smflow,812,186
Derpinator,802,131
Cal,795,168
Jts,778,177
 - - - - - - Starter - - - - - - 
Skittles,776,174
Kia,774,360
Swell,773,222
?,763,170
Moobesor,761,221
Mr.satan,760,207
Spice,757,227
Xavier,757,180
Escalatorboy,754,340
Dishwash,732,328
Midnighthillbomber,725,193
Jackwallace,724,364
Infest,719,252
Rocky,711,170
Auntjemina,708,325
Tmah,707,248
Darkmatter,707,222
Divus,703,238
Spicymeme,688,281
Yale,664,143
Roen,637,281
Tino,626,408
Yzus,626,313
Jira,615,367
Daemomlock,607,280
Backsalt,604,397
Dante,596,201
Deisman,593,187
Jam,592,398
Tv,583,278
Earl,581,224
Boggles,580,409
Boxedsalt,580,409
Nito,560,362
Stormz,554,360
Ozio,554,226
Kegwrecker,550,391
Fish,546,396
Bighp,538,309
Kalco,534,276
Jlips,534,351
Dkang,529,380
Scotty2hotty,496,359
Tubbs,484,369
Nexttopmodel,476,379
Phi,444,393
Rezid,439,387
Jojo,429,390
Zay,420,387
Dordo3,415,396
Spencomatic,405,389
Nickzack,376,353
Ratemyname,82,343
