Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2052,109
Krizski,1841,80
Swan,1723,57
Odds,1723,99
Poppinfresh,1718,79
Garbage,1676,92
Qwuv,1631,56
Dimentio,1584,85
Mftea,1580,137
Leaf,1564,114
 - - - - - - Gold - - - - - - 
Minijoel,1558,65
Wamsa,1517,62
Birmi,1478,55
Mach5,1472,201
Brunch,1450,90
Liban$,1439,90
Milesss,1437,96
Vision,1422,73
Isis,1418,88
Tsteak,1352,87
Rat!,1338,85
Aozorax,1293,149
Nitro,1280,168
Zipper,1266,186
Rash,1246,164
 - - - - - - Silver 1 - - - - - - 
Bigbird,1234,131
Bapple,1223,84
Duckrobin,1215,64
Venison,1202,134
Princessknight,1164,219
Thegroose,1157,143
Seemorebutts,1152,166
Thunderbob,1142,169
Stewie2k,1135,180
Falco,1113,277
 - - - - - - Silver 2 - - - - - - 
Kova,1105,174
Finsnreads,1104,151
Gocutiego,1094,210
Linda,1078,192
Magpie,1071,215
Dokmomo,1059,133
Rtsvicta,1054,215
Unity,1051,104
Rain,1034,129
Ashley,1031,143
Slinky,1002,145
Seen,991,119
Tomthebomb,990,198
Nate,957,196
Sykke,932,227
 - - - - - - Bronze 1 - - - - - - 
Blackgun,931,271
Greenapple,930,158
Me$|platplat,925,173
J0ey,919,196
Soupostrich,918,196
Wpi|folie,913,202
Superanimevapegod,907,294
Chewwie,879,314
Jip,875,191
Emgat,858,316
 - - - - - - Bronze 2 - - - - - - 
Ed,855,203
Jams,855,203
Meleekunis,851,279
Aids,849,112
Tomato,839,231
Babe,837,299
Busso,824,171
Boss,817,226
Runawayfire,806,265
Twdock,804,183
Cal,788,172
Me$|smflow,787,199
Derpinator,787,138
Moesizzle,785,230
Dishwash,774,212
 - - - - - - Starter - - - - - - 
Jts,771,180
Skittles,769,177
Moobesor,761,221
Spice,759,212
Swell,758,230
?,756,173
Auntjemina,754,205
Xavier,750,184
Kia,750,372
Mr.satan,735,220
Midnighthillbomber,700,205
Tmah,692,256
Jam,684,247
Darkmatter,682,234
Divus,679,250
Rocky,676,154
Spicymeme,674,289
Nickzack,673,208
Yale,652,135
Infest,646,199
Roen,612,293
Tino,601,421
Yzus,601,326
Daemomlock,582,292
Dante,571,214
Deisman,568,199
Tv,558,290
Earl,556,236
Ozio,547,229
Bighp,514,321
Kalco,510,288
Jlips,509,363
Dkang,504,392
Ratemyname,68,350
