Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
2manycooks,1918,202
Exodia,1883,79
Alphicans,1709,76
Silver,1688,61
Neki,1615,91
Sylarius,1604,90
Beanfox,1549,69
Kidman,1490,71
Muzzard,1488,70
Superloli,1482,80
 - - - - - - Gold - - - - - - 
Conut,1444,96
Emily,1437,133
Kofeezy,1403,113
Nessisless,1381,92
Compushwa,1369,118
Chaizord,1319,147
Mickey,1318,79
Obito,1307,123
Accents,1304,148
Hwarplz,1304,132
Snow,1287,190
Marf,1247,195
Nullex,1239,82
Vypex,1232,173
Peekachoo,1230,133
 - - - - - - Silver 1 - - - - - - 
Travishvii,1219,191
Jetfuel,1181,89
Spamcob,1158,193
Grylie,1121,215
Alerf,1108,148
Saltin,1082,253
Mornville,1076,209
Eevee,1069,168
Chowderr,1048,211
Diop,1042,118
 - - - - - - Silver 2 - - - - - - 
Minifedora,1020,133
Trashman,1013,237
Omergosh,1009,171
Yoshara,1006,129
Pip,998,127
Yanase,976,249
Zozzle,975,169
Lan,961,225
Jinkx,956,283
Overcast!,944,237
Vaynemain,942,294
Kuraudo,922,282
Rileynoble,912,274
4f,906,228
Lift,900,142
 - - - - - - Bronze 1 - - - - - - 
Armour,898,173
L.p.m.,894,160
Tankeroo,883,216
Deck,853,236
Moose,849,219
Moon,848,242
Tipihn,847,160
To,843,221
Wolfy,819,212
Sendai,782,184
 - - - - - - Bronze 2 - - - - - - 
Sk,778,210
Tomgen,750,300
Science,739,174
Socks,732,260
Devastater,731,337
Huk,730,269
Umr,729,196
Outlaw,715,255
Zyrus,710,266
Victra,709,242
Matt,700,293
Kieutea,698,326
Cinder,676,252
Tokaio,658,240
Fedoralord552,647,214
 - - - - - - Starter - - - - - - 
Rapper,631,257
Hettman,603,225
Apostraphy,560,358
Androcks,536,358
Boom,505,373
Goobaby,505,373
Lilikoi,457,230
Mahman,400,347
