name, rating, rd, vol, inactivity
2manycooks 2286.9151336013456 199.30534587894726 0.08176368611001229 3
shoghi 2257.065776103954 187.4192580517911 0.08196127625967735 2
exodia 1979.6580121367765 73.67234252415189 0.0802804201079786 0
fuggthepugg 1946.3700087013558 253.65935905209236 0.08086137362559408 10
alphicans 1886.5125485174208 80.42381064718285 0.07999799423152751 1
silver 1793.2625747268153 62.86949265581708 0.07977994220149427 1
sylarius 1769.2205268181103 103.02714816868667 0.0809479645706244 3
neki 1768.9609344749088 81.27433258707521 0.0801389849604332 0
reich 1766.46470567499 168.27305288030945 0.08000739564269023 8
namejeff 1681.6939227021423 169.56956693408867 0.08008330751338287 4
artfulshwabbes 1660.6382272734083 175.61023358320563 0.08002148030590385 4
beanfox 1660.0217772804688 66.33723010291715 0.07982013204442327 0
snow 1655.4285004736428 188.9846151236576 0.07998603558132156 2
qt|skilledroy 1653.9358092864577 233.92315963837018 0.08004225106268764 10
emily 1651.743759478375 128.82980952221948 0.0797862902001592 5
cofee 1628.4492655302024 257.93668431910817 0.07997218519328232 10
superloli 1624.956132675081 82.71350064962353 0.07966570415229406 2
marf 1623.8087279474962 192.7131070298126 0.07996028097922363 5
kiddman 1619.143013263593 80.28260415755469 0.08031436932491351 2
muzzard 1618.1239819985526 71.93280678678782 0.08001480749157552 0
kofeezy 1612.5859605632045 144.28593100381488 0.07979820909431329 3
chaizord 1604.9798984088477 148.54160009415648 0.07974506233068075 3
accents 1604.0706456202654 149.14524412528766 0.07978803550925091 2
hwarplz 1598.7167913076298 162.47516344098617 0.08000194804381469 3
travishvii 1591.6906435334065 189.12821785307614 0.07993473001528059 2
saltin 1591.6130286762325 252.88315199963526 0.07994793894641682 8
vypex 1580.3442605941134 172.56542362803643 0.0798739597897943 2
grylie 1579.5578051047085 195.31730660890923 0.07993342052189238 0
obito 1557.6748237560157 107.93919638556395 0.07970920317318239 5
nessisless 1555.988928091455 92.02365552991306 0.0798435485480435 1
compushwa 1554.6689139098833 146.05624494188467 0.07990975102558096 1
conut 1549.3345523025523 105.17477373299454 0.07985647627730437 0
spamcob 1535.7228178739695 192.1678975070179 0.07991490828568897 2
vaynemain 1534.8919985182981 295.3249035104974 0.07992422002078631 12
jinkx 1525.9010127302806 283.82608625472983 0.0799228828983428 11
kuraudo 1498.618905410566 284.73653449425996 0.07992187269588881 11
trashman 1491.8070436914104 237.7218138425064 0.07990666203746309 8
mickey 1490.8305064706726 78.2765842413887 0.07948940888510235 0
yanase 1486.378929959161 251.65895976134712 0.07992412074092894 8
alerf 1480.1430157145103 170.3674792897633 0.07986888027759857 3
rileynoble 1477.050215454813 278.4726416135015 0.07992955063316196 10
peekachoo 1451.4122840314044 114.18948311116787 0.0799813452674432 1
bigkof 1426.467245221185 251.6231393781831 0.07995221821994485 6
overcast! 1412.0431734680155 235.74530199698017 0.07995299690843576 5
lan 1408.9666178865023 223.94220262027505 0.07995355887984948 2
devastater 1405.4730064173625 337.1650822971685 0.07996474021888708 13
eevee 1399.7070077237595 167.63905265398793 0.07996877478635683 6
nullex 1370.6510136773802 86.33387852983618 0.07981817191088494 1
jetfuel 1367.1554594575578 89.61126653090597 0.07969023381877934 1
4f 1361.589399087579 227.55778047580532 0.07997188498196127 2
tomgen 1356.5852864128246 303.91562807345633 0.07998480437094559 9
kieutea 1352.3448481490009 326.85184859495877 0.07998740063729551 12
omergosh 1347.2064232766695 170.95255724063637 0.07999652410730111 1
moon 1337.8946488090933 243.14182004733735 0.07999459820672264 8
deck 1328.632453192108 235.130415501511 0.07999300626034993 5
dio 1327.2456816002164 118.3632848022531 0.07985573159725107 2
zozzle 1308.989103569122 168.29301466459285 0.07992336667485751 5
matt 1303.1543258239374 288.1948823297858 0.0800145929029237 9
to 1281.822291281294 222.6339430888092 0.08003058730064705 4
minifedora 1281.3944889569175 137.0133681864807 0.07997634566776995 1
apostraphy 1276.768347715368 358.32527917260387 0.08002324858694887 13
huk 1265.7340693944604 268.1905685552187 0.0800128828394714 4
pip 1260.3646765090884 114.26535901612479 0.07995311576959235 0
androcks 1254.4826926705825 358.79192583885583 0.08003554806365741 13
socks 1253.8659865325083 260.7180846514547 0.08003819364646489 6
boom 1252.592545347864 373.7640702384732 0.08002855239252728 13
goobaby 1252.592545347864 373.7640702384732 0.08002855239252728 13
armour 1246.5301579313218 173.10494575040894 0.08007047585531389 2
zyrus 1241.4283122261722 263.35727360638504 0.08001891334415151 2
yoshara 1236.5137686656008 120.32129274418187 0.07985241861506777 0
outlaw 1222.231116339812 255.22216292127672 0.08005263474541657 5
sendai 1221.1713341633308 183.3415204409578 0.07999744220359174 1
lpm 1215.8250482500196 158.53647883613843 0.0799953100344928 2
victra 1189.9457565807065 240.6289528021271 0.08006838407686678 2
lift 1175.355387690597 142.06112638839073 0.07995622016910375 2
tipihn 1173.057584349656 158.6591793462492 0.0800688815651252 1
rapper 1140.0589925796476 257.7631291449774 0.08011544121367016 5
tokaio 1133.2250728518611 240.58377448753194 0.08010738697516212 1
umr 1125.6731128641873 195.25699727721926 0.0800115228716542 5
saber 1111.6404415653155 170.51765292982472 0.07997156921227197 6
cinder 1109.8007633271409 284.91770395781725 0.08007879523248172 4
science 1109.1507528842683 176.28004220482987 0.08003606496363755 5
mahman 1095.976838285971 347.8316586754984 0.08015569378305813 12
fedoralord552 1073.0062260520626 214.89770994478621 0.08010285789024528 2
hettman 1049.981951015723 225.14204000603385 0.08004495883783583 2
lilikoi 941.8914261049836 223.6502795211459 0.08005314367321546 3
