Name,Score,Deviation
Anjo,1887,71
Yardsale,1821,69
Jv,1768,67
Jraff,1715,67
Nugs,1694,70
Ksc,1676,66
Sylarius,1619,144
Dopesamus,1614,93
Poppinfresh,1607,69
Dew,1576,82
Pelican,1558,71
Crusayer,1531,100
Tags,1512,125
Kronos,1508,62
Chochang,1477,96
Alphicans,1477,139
Npo,1466,73
Woody,1417,109
Minifedora,1394,95
Smear,1371,99
Mittens,1362,195
Kull,1362,83
Drummercon,1362,101
Bluezone,1340,252
Victra,1333,132
Fedoralord552,1329,106
Approvedboat,1315,116
Silver,1305,117
Tulip,1305,102
Saybn,1279,161
Mandible,1259,182
Sad,1243,103
Kasey,1219,139
Salamimommy,1193,205
Jackied,1191,106
Omergosh,1174,188
Yawn,1171,172
Lift,1170,145
Figa,1157,96
Mr.bulldops,1154,165
Salsa,1142,133
Medic,1134,194
Phantom,1132,96
Kelaris,1128,159
Colt,1122,117
Ndiaz,1117,150
Koreanking,1085,140
Justjohn,1082,142
Unclegubsy,1075,126
Conut,1071,155
Jedcruz,1070,200
Bigboy,1060,95
Borz,1043,259
Dr.love,1038,141
Colby,1014,116
Tony,1009,132
Andhobbes,996,294
Takaio,988,199
Gouda,985,199
Squirmple,981,164
Sendai,966,169
Hyper,962,250
Chair,952,264
Kimil,951,144
Boof,945,106
Sdk,933,114
Christinefromnetplay,930,238
Cinder,925,143
Tokaio,924,210
Asianjustinwong,924,255
Lpm,919,156
Jure,895,257
Bbro,890,292
Trashman,884,259
E-beats,879,221
Tak,857,252
Noxris,836,241
Rn,831,231
Saber,828,156
Gumby,823,304
Crimsonbeast,815,224
Brayden16,805,286
Dotcalm,793,235
Bitepunch,788,241
Coolalex,784,249
Chowder,777,218
Nicknasty,763,254
Maigai,757,234
Okada,755,254
Merkzer,753,141
Sunshine,752,320
Hettman,743,166
Dunkmaster,739,230
Zensa,739,228
Boner,735,218
Kcurb,723,337
Alpha,722,317
Dynasty,720,264
Wharplz,702,263
Shift,689,133
Turboscrub,688,307
Midnight,687,249
Zozzle,684,186
Mahman,671,236
Apto,664,244
Blueandyellowshirt,650,320
Butteeeers,646,279
Moon,632,251
Jarobi,629,252
Scrubsauce,626,357
Jester,616,233
Lillicoi,603,315
Zedd,600,263
Chicken,598,249
Royalty,595,289
Gundamrobot,588,198
Knoff,584,414
Scrublord3000,584,320
Taylorf,572,262
Tinyshroomish,572,173
Chickfungus,566,306
Fox3345,560,261
Lunamelee,553,373
Ravnica,550,284
Umr,541,236
Jetfuel,529,327
Skittles,528,362
Gmoney,513,253
Dumpmaster,506,243
Chaizord,501,329
Leflur,499,291
Neki,493,379
Nate,493,358
P0wer,478,326
Bent,322,310
Tagless,290,307
