name, rating, rd, vol, inactivity
anjo 2029.9993918314758 71.47106545643919 0.08003457492444901 1
yardsale 1961.5377051532394 69.84837503386028 0.0809477578777538 0
sylarius 1907.6119216477923 144.16238612733446 0.08080333627082305 4
jv 1902.3595390272853 67.07203554684641 0.08027557218081391 1
jraff 1850.509302032931 67.52141470244331 0.07975731524174669 0
bluezone 1846.630646692557 252.82085132491096 0.08099337262564145 12
nugs 1836.0577965684413 70.82542406678004 0.0807036730357139 1
ksc 1809.9619984776125 66.69085073226583 0.07977089283785745 0
dopesamus 1801.8371221582106 93.52333791708367 0.07988508676423448 1
tags 1763.4253630045168 125.31316282844928 0.07989281622559286 7
alphicans 1755.6804946651316 139.02352966596504 0.08013112757888455 0
mittens 1753.8649501415323 195.54097807713168 0.08037332668669218 7
poppinfresh 1745.9735924312565 69.27381558223344 0.07996871714930287 1
dew 1741.9121220739858 82.72204092240534 0.0801885397454792 3
crusayer 1733.3478731042044 100.90658344145254 0.07979020531972972 0
pelican 1700.2536187106039 71.07507880137238 0.07957933647900173 2
chochang 1670.1765051292025 96.14746206623273 0.07986469635883002 2
woody 1635.4626534765314 109.15095316345807 0.07991106984974247 0
kronos 1632.9719293003907 62.38315620479633 0.07932686989914085 0
mandible 1624.3520162290865 182.62306636081263 0.07996929675998839 0
npo 1612.615102407235 73.01342657421566 0.08026789667460386 1
salamimommy 1603.5047299854957 205.21465675434393 0.07993921981677755 6
saybn 1603.0667533385565 161.55862311753796 0.07990371470969118 0
victra 1599.013167021225 132.51619104815873 0.0799378450003935 2
minifedora 1586.6214842601426 95.92559847930742 0.0797559065273592 0
andhobbes 1585.5184871230067 294.3571007706805 0.07993373508230335 13
smear 1570.1014610605637 99.38257876521405 0.079758230916761 0
drummercon 1564.9164128338973 101.4253330398428 0.07995355433113834 0
borz 1562.8823651396588 259.9270223974051 0.07988913883897247 12
omergosh 1552.3346643311697 188.95662517512469 0.07993196969404422 0
approvedboat 1549.3977318491047 116.72462175152039 0.08011099270428162 2
silver 1541.8244669239778 117.96172157847222 0.07973638163425358 0
fedoralord552 1541.7360661660018 106.24580357273702 0.07961029310145125 0
kull 1529.8760973991266 83.7190298012056 0.07952668053728362 0
medic 1524.031825942591 194.9410543656742 0.07991196940143497 3
yawn 1516.48337641414 172.54319423514838 0.07988913983008428 1
tulip 1509.3751084663904 102.08685839089699 0.07956750790690272 4
kasey 1498.0918395643796 139.4131361880108 0.07978800041593344 2
mr.bulldops 1485.4210018567235 165.36455972348168 0.07988480735959248 2
chair 1482.3728679555536 264.89068865677655 0.07996268404713283 1
bbro 1475.399987341498 292.28214777472067 0.07991804501605235 12
jedcruz 1471.877736286752 200.57609947080454 0.07991864009094266 3
hyper 1462.9076924266685 250.42295173392378 0.07995305177261341 4
lift 1461.1060844973147 145.24636668400925 0.07980438248468966 0
sad 1450.6347529574339 103.40503469422458 0.0798478794482703 0
kelaris 1447.0250636408364 159.45088936228586 0.07981450013004576 1
asianjustinwong 1435.7706665526403 255.72347145178637 0.07992768042826873 9
gumby 1433.2033788832525 304.74235099750797 0.07995058761674365 11
ndiaz 1417.1981247122037 150.05995601891678 0.07986244102088041 0
knoff 1412.7820979859068 414.1763364787982 0.0799875713068684 14
jure 1410.3984029338494 257.5481831549737 0.07995818379691981 6
salsa 1408.8869232378656 133.30213575681552 0.07995683201505702 5
christinefromnetplay 1408.2965905676424 238.951924530751 0.07994941580101922 6
