Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Anjo,1878,75
Yardsale,1819,71
Jv,1759,71
Jraff,1747,61
Sylarius,1736,109
Nugs,1685,75
Ksc,1673,68
Dopesamus,1606,97
Poppinfresh,1598,73
Crusayer,1590,88
 - - - - - - Gold - - - - - - 
Pelican,1584,66
Dew,1560,90
Chochang,1515,84
Kronos,1511,60
Alphicans,1476,139
Npo,1455,71
Victra,1420,105
Woody,1415,110
Mandible,1397,128
Minifedora,1392,96
Drummercon,1385,89
Smear,1369,100
Kull,1360,84
Fedoralord552,1345,98
Mittens,1337,208
 - - - - - - Silver 1 - - - - - - 
Bluezone,1316,265
Tulip,1310,91
Approvedboat,1308,120
Silver,1304,118
Saybn,1275,130
Figa,1263,84
Sad,1241,104
Kasey,1212,120
Justjohn,1203,112
Jackied,1182,96
 - - - - - - Silver 2 - - - - - - 
Omergosh,1173,189
Lift,1169,145
Salamimommy,1168,217
Yawn,1164,176
Mr.bulldops,1147,168
Phantom,1145,90
Andhobbes,1142,173
Colt,1141,103
Kelaris,1120,163
Medic,1119,202
Salsa,1116,146
Ndiaz,1115,150
Bxxrams,1104,172
Bigboy,1085,89
Conut,1070,156
 - - - - - - Bronze 1 - - - - - - 
Unclegubsy,1068,130
Timto,1063,207
Koreanking,1059,153
Jedcruz,1055,208
Kimil,1042,125
Chair,1042,192
Dr.love,1037,142
Borz,1018,272
Colby,1007,120
Tony,1001,136
 - - - - - - Bronze 2 - - - - - - 
Takaio,981,202
Gouda,978,202
Sendai,965,169
Squirmple,956,176
Hyper,947,257
Sdk,941,105
Boof,930,102
Cinder,924,143
Tokaio,923,210
Lpm,912,159
Christinefromnetplay,905,251
Asianjustinwong,899,268
E-beats,879,222
Jure,870,269
Bbro,866,304
 - - - - - - Starter - - - - - - 
Trashman,859,272
Alvin,846,215
Wrt,839,212
Tak,832,264
Noxris,830,244
Rn,816,239
Saber,802,168
Crimsonbeast,801,232
Gumby,799,317
Zozzle,785,168
Brayden16,780,299
Dotcalm,778,242
Chowder,776,218
Coolalex,769,257
Bitepunch,763,253
Merkzer,746,144
Maigai,743,241
Nicknasty,738,267
Zensa,738,228
Boner,734,218
Dunkmaster,733,234
Okada,731,266
Hettman,728,174
Sunshine,727,333
Kcurb,698,350
Alpha,697,329
Dynasty,696,277
Dumpmaster,686,213
Shift,684,131
Wharplz,677,275
Turboscrub,663,319
Midnight,663,262
Apto,657,248
Mahman,646,249
Butteeeers,639,283
Blueandyellowshirt,625,332
Jester,615,234
Jarobi,614,260
Moon,607,264
Royalty,605,199
Scrubsauce,602,369
Bent,589,236
Chicken,583,256
Gundamrobot,580,182
Ribs,579,243
Lillicoi,578,328
Zedd,575,275
Taylorf,565,265
Knoff,559,426
Scrublord3000,559,333
Tinyshroomish,553,157
Fox3345,545,268
Chickfungus,542,318
Umr,535,239
Lunamelee,529,385
Ravnica,525,296
Gmoney,522,211
Jetfuel,504,340
Skittles,503,374
Tinyegg,500,248
Chaizord,476,342
Leflur,474,304
Neki,469,391
Nate,468,370
P0wer,453,338
Tagless,266,319
